Forest size=5, Subsetsize=1, Accuracy=0.676991150442
Forest size=5, Subsetsize=2, Accuracy=0.674041297935
Forest size=5, Subsetsize=3, Accuracy=0.676991150442
Forest size=5, Subsetsize=4, Accuracy=0.669616519174
Forest size=5, Subsetsize=5, Accuracy=0.691740412979
Forest size=5, Subsetsize=6, Accuracy=0.690265486726
Forest size=5, Subsetsize=7, Accuracy=0.676991150442
Forest size=5, Subsetsize=8, Accuracy=0.662241887906
Forest size=5, Subsetsize=9, Accuracy=0.638643067847
Forest size=10, Subsetsize=1, Accuracy=0.67994100295
Forest size=10, Subsetsize=2, Accuracy=0.678466076696
Forest size=10, Subsetsize=3, Accuracy=0.685840707965
Forest size=10, Subsetsize=4, Accuracy=0.674041297935
Forest size=10, Subsetsize=5, Accuracy=0.665191740413
Forest size=10, Subsetsize=6, Accuracy=0.676991150442
Forest size=10, Subsetsize=7, Accuracy=0.671091445428
Forest size=10, Subsetsize=8, Accuracy=0.671091445428
Forest size=10, Subsetsize=9, Accuracy=0.659292035398
Forest size=100, Subsetsize=1, Accuracy=0.678466076696
Forest size=100, Subsetsize=2, Accuracy=0.684365781711
Forest size=100, Subsetsize=3, Accuracy=0.67994100295
Forest size=100, Subsetsize=4, Accuracy=0.669616519174
Forest size=100, Subsetsize=5, Accuracy=0.665191740413
Forest size=100, Subsetsize=6, Accuracy=0.674041297935
Forest size=100, Subsetsize=7, Accuracy=0.662241887906
Forest size=100, Subsetsize=8, Accuracy=0.669616519174
Forest size=100, Subsetsize=9, Accuracy=0.674041297935
Forest size=500, Subsetsize=1, Accuracy=0.674041297935
Forest size=500, Subsetsize=2, Accuracy=0.674041297935
Forest size=500, Subsetsize=3, Accuracy=0.672566371681
Forest size=500, Subsetsize=4, Accuracy=0.691740412979
Forest size=500, Subsetsize=5, Accuracy=0.671091445428
Forest size=500, Subsetsize=6, Accuracy=0.681415929204
Forest size=500, Subsetsize=7, Accuracy=0.669616519174
Forest size=500, Subsetsize=8, Accuracy=0.659292035398
Forest size=500, Subsetsize=9, Accuracy=0.648967551622
