Forest size=1, Subsetsize=1, Accuracy=0.858024691358
Forest size=1, Subsetsize=2, Accuracy=0.858024691358
Forest size=2, Subsetsize=1, Accuracy=0.855379188713
Forest size=2, Subsetsize=2, Accuracy=0.855379188713
Forest size=3, Subsetsize=1, Accuracy=0.858024691358
Forest size=3, Subsetsize=2, Accuracy=0.858024691358
Forest size=5, Subsetsize=1, Accuracy=0.858024691358
Forest size=5, Subsetsize=2, Accuracy=0.858024691358
Forest size=10, Subsetsize=1, Accuracy=0.858024691358
Forest size=10, Subsetsize=2, Accuracy=0.858024691358
Forest size=50, Subsetsize=1, Accuracy=0.858024691358
Forest size=50, Subsetsize=2, Accuracy=0.858024691358
Forest size=100, Subsetsize=1, Accuracy=0.858024691358
Forest size=100, Subsetsize=2, Accuracy=0.858024691358
